	userId	movieId	rating	timest
82587	655	823	2	888685759
16422	406	482	5	879446588
76257	276	567	3	874792794
96685	886	55	4	876031622
36439	367	563	4	876690077
10557	194	161	4	879523576
34979	312	505	5	891698987
58170	851	11	5	875731441
36531	186	203	5	879023529
55657	457	318	5	882397337
78049	44	523	4	878348784
86085	903	871	3	891031833
27110	502	879	3	883701980
71720	936	250	5	886832337
7583	286	325	1	889651253
67694	853	259	3	879365034
44172	643	24	4	891449614
7772	270	66	4	876955531
87293	498	238	4	881957195
76735	889	1113	5	880182295
53489	474	566	5	887926632
93055	916	741	3	880843401
5864	344	181	3	884901047
58686	389	88	3	880613773
53435	457	161	4	882397829
30674	249	117	4	879640414
77907	285	185	3	890595859
70464	162	826	3	877635965
29989	506	608	4	874874055
37405	448	333	2	891887161
6999	130	53	3	876251972
86707	823	176	4	878438807
73432	741	692	1	891019587
71728	56	678	4	892676056
73950	514	24	3	875463164
34844	488	8	3	891295067
46618	659	762	3	891387227
94439	535	498	4	879619224
85872	751	865	2	889135211
35673	573	480	4	885844481
1978	137	300	5	881432524
95104	130	794	5	875802137
1752	275	69	3	880314089
34018	561	163	3	885808963
24706	417	764	3	879646677
38822	472	228	5	875979910
72428	901	35	4	877131685
10859	382	276	3	875946029
22442	393	1178	3	889729460
64244	774	431	4	888557329
91881	554	276	3	876548886
21292	403	181	4	879785916
32219	288	880	1	886373007
86423	643	11	4	891446720
25856	114	655	3	881260506
52798	29	326	2	882820869
83801	807	68	4	892705239
24087	184	378	4	889909551
19656	301	719	4	882079542
3374	311	348	4	884364108
5733	15	137	4	879455939
79828	648	769	1	884883724
64247	181	108	1	878963343
53961	161	210	2	891171698
9422	159	286	1	880485233
94319	650	2	3	891381709
63864	870	238	4	875050865
19267	380	114	3	885478539
11355	393	128	3	887746145
40406	201	273	2	884112352
72073	669	522	4	892550196
3125	90	618	5	891385335
21230	21	263	1	874951040
72677	527	168	5	879456405
16438	342	92	4	875320227
8264	59	501	1	888205855
76269	819	346	5	884012487
34351	472	477	5	875978387
86496	840	657	5	891205287
83138	916	709	3	880844123
5313	244	596	4	880604735
59444	579	582	4	880952102
42259	381	303	3	892697999
56533	713	689	3	888882225
85549	588	159	1	890029795
66714	7	586	3	891354639
33679	531	457	1	887049341
70298	919	508	5	875288570
68737	904	66	4	879735641
62239	846	702	4	883949380
9223	1	97	3	875073128
43900	198	431	3	884208137
48597	532	227	4	874788566
78903	504	158	3	887910737
75578	780	603	2	891364059
8745	308	144	3	887737956
36542	152	692	5	880149963
88009	747	185	5	888640437
4355	140	322	3	879013684
92684	709	515	4	879846816
85951	883	504	5	891754950
57151	472	546	4	875979041
56752	788	597	3	880870582
6522	269	654	4	891448980
96470	312	83	4	891699538
32193	551	316	5	892696165
67708	755	289	1	882569912
1453	310	116	5	879436104
98707	826	71	5	885690342
82155	902	172	4	879465522
59134	847	763	1	878775914
96612	890	448	2	882915661
64722	839	319	1	875751411
79284	716	620	3	879797287
28637	99	358	2	885678520
32210	398	525	3	875908134
68957	758	890	3	880672552
99611	541	258	4	883864123
13346	405	11	4	885545263
86652	907	819	4	880159442
61204	81	475	5	876533504
51219	778	78	1	890803860
29096	198	298	1	884204993
25528	213	143	5	878955766
41693	380	419	3	885479124
80209	880	394	3	880243319
52682	178	333	3	884836479
15073	372	574	4	876869957
74562	807	1133	3	892823295
71251	864	229	4	888891836
20804	98	629	5	880499111
65754	380	151	4	885478759
99116	691	1172	5	875543191
21444	455	56	5	879110844
8197	20	405	3	879668555
33780	189	124	5	893264048
84030	794	285	5	891035355
68271	647	237	3	876776320
54462	459	989	5	879561708
43146	328	1217	3	885049790
79303	748	83	3	879455019
35145	207	742	4	876018580
97357	923	815	4	880387792
12002	64	367	4	889739678
8638	243	221	5	879989217
20293	363	258	3	891493603
59683	711	191	5	879993959
24573	294	363	1	889243393
67344	521	751	3	884475485
40935	655	1097	3	887426008
47792	144	98	4	888105587
96307	207	792	2	876079016
50854	501	369	4	883348703
63732	899	209	5	884121173
72884	286	189	3	877533296
16689	387	1143	5	886480623
35683	308	1252	3	887741604
23695	495	674	3	888635995
54336	600	181	4	888451491
70395	506	566	4	885135819
96395	825	1049	3	880756834
77664	606	118	4	878143785
27347	197	56	1	891409799
33531	536	570	3	882361162
92939	305	311	5	886307971
17002	324	877	1	880575163
28612	269	274	1	891450901
15725	374	121	4	880393095
48434	218	42	4	877488546
63835	706	471	4	880997172
74052	805	719	4	881705389
28659	501	127	5	883347773
43731	405	447	4	885548331
69550	712	69	3	874730085
36811	583	239	2	879384522
1119	303	393	4	879484981
72393	616	349	4	891224748
42258	544	749	4	884795471
48368	13	572	2	882398255
30668	60	168	5	883326837
60526	844	154	3	877387052
92468	657	327	1	884238247
11437	382	25	2	875945880
84341	823	141	4	878438484
24176	135	288	3	879857575
38241	49	217	3	888067405
65596	542	763	4	886533253
64191	165	127	4	879525706
42237	334	155	2	891549927
85427	916	581	4	880845543
19384	217	176	4	889069842
89999	777	135	3	875980391
50828	42	227	4	881109060
67078	1	42	5	876892425
6621	102	685	3	888801876
19183	194	64	5	879521936
91586	655	279	3	888685989
43077	342	965	4	875319195
97635	886	410	4	876031459
48464	692	100	4	876953482
72824	905	475	3	884984329
54877	62	652	4	879375364
4353	87	550	4	879876074
43163	405	1232	1	885546681
68120	334	246	4	891544952
18267	152	483	5	882474435
58511	405	727	1	885546247
79911	643	509	3	891448839
66168	574	344	5	891278962
84623	790	268	4	884460878
83617	896	746	3	887159658
82824	276	269	4	885871420
43677	503	321	2	879438024
852	59	323	4	888206809
83989	160	628	3	876767360
31536	18	177	3	880131297
95533	756	1240	4	874829333
831	188	143	5	875072674
47607	685	334	1	879451168
78577	121	172	5	891388090
34523	507	302	5	889963959
22668	1	146	4	875071561
67346	802	53	4	875985840
60124	145	55	3	875272009
86817	870	433	3	879901879
70351	662	10	4	880570142
33802	223	864	3	891550094
21746	13	872	3	882139327
55937	445	744	2	891200272
68786	881	15	3	876536241
98576	938	257	5	891356350
70368	934	228	4	891193778
33318	348	926	3	886523683
85179	682	49	3	888522194
84228	450	616	4	882373597
13927	410	300	3	888626538
19703	396	322	4	884645790
2805	311	366	5	884366010
94257	916	1014	3	880843683
48105	595	294	2	886920748
69481	870	10	4	879376967
19161	224	11	3	888082468
85076	741	451	3	891457395
15378	378	419	4	880332643
7554	245	112	4	888513575
43181	461	319	3	885355778
85727	903	198	4	891032872
19360	451	294	5	879012470
99186	788	28	5	880868876
40220	447	96	5	878855847
63457	493	369	2	884130271
7144	312	587	3	891699399
19129	119	1261	4	874781198
55217	615	732	4	879449211
92469	864	225	3	878179608
83742	181	107	1	878963343
53536	528	173	5	886101610
65054	865	122	3	880144539
19165	453	248	4	887942143
37332	299	1056	4	889502292
79048	864	405	5	877214158
1596	66	7	3	883601355
10110	339	154	4	891032885
7609	312	132	5	891699121
77602	864	317	4	888887128
23800	52	22	5	882922833
21392	423	1011	3	891395547
44937	606	1280	2	889137292
69786	831	687	2	891354424
39900	655	281	2	887426732
5887	42	131	2	881108548
83505	389	274	4	880088421
90930	796	43	4	893188486
61538	820	748	1	887955223
80135	838	172	5	887066143
15095	42	172	5	881107220
65823	839	286	4	875751411
97961	378	238	3	880046161
78932	828	902	4	891380167
25942	59	642	5	888206254
28309	314	993	5	877886279
76346	592	480	4	882955662
18887	13	109	4	882141306
99237	846	210	5	883947500
5948	311	204	5	884365617
927	83	281	5	880307072
48408	559	182	4	891035111
27551	152	720	5	882477356
63664	493	24	4	884130593
15352	223	294	4	891548859
34767	561	42	3	885809025
10207	49	231	3	888069579
20132	70	175	3	884150422
42826	193	177	4	890860290
77866	710	656	5	882064321
26911	405	416	2	885548932
21673	235	191	4	889654971
5127	60	810	4	883327201
30861	527	124	4	879455680
20992	177	421	3	880130881
11558	18	193	5	880131358
46812	660	153	4	891200388
57077	588	354	5	890014930
80131	327	393	3	887819507
95663	671	841	2	875388720
88417	940	301	3	884800988
81404	765	507	5	880347034
36099	83	4	2	880336655
49112	749	188	3	878848302
86631	677	290	1	889399295
93317	458	83	4	886398071
97857	13	541	1	882397650
7837	122	511	5	879270084
20980	394	383	2	881059704
97309	189	582	5	893265998
5602	180	213	5	877128388
52383	711	713	3	879991283
4050	157	150	5	874813703
14677	385	48	5	879441777
85040	733	151	4	879535694
22831	15	455	1	879455914
44322	645	59	5	892053429
13601	7	131	5	891352383
57982	158	449	2	880134815
62337	661	433	5	876016545
82191	487	204	4	883445495
90650	932	1116	4	891250943
69955	370	390	1	879434587
52370	577	151	4	880470604
79842	846	468	4	883948949
59993	87	692	5	879876565
64885	692	326	3	876948579
62123	833	919	2	875124348
22683	279	398	4	875310764
29456	13	712	4	882141872
84029	896	160	3	887160247
75391	810	300	5	890083187
73060	663	696	3	889492877
41344	246	431	3	884921661
95910	894	689	3	880993390
45001	488	612	4	891294210
46216	345	300	3	884900427
14632	391	15	4	877399805
31865	29	480	4	882821989
89536	936	324	5	886831576
3753	234	229	4	892334189
28375	523	154	4	883702125
65255	456	616	3	881373655
46492	674	929	3	887763150
12160	92	109	3	886443351
4830	310	258	3	879435606
21011	412	526	4	879717572
53925	807	419	5	892528813
43174	690	218	5	881179906
47760	222	294	3	877562795
40478	624	475	4	879793223
93247	892	601	5	886609149
90431	846	802	2	883949508
94291	936	864	4	886833360
72556	299	1300	2	877878382
39234	14	628	5	880929697
78413	846	1107	4	883950128
99606	892	162	4	886609390
58014	620	409	4	889988196
3554	139	268	4	879537876
95646	772	302	5	877533625
95270	59	129	5	888202941
82386	682	729	3	888518035
46806	450	287	4	887660504
25031	484	228	5	891195349
72510	693	697	4	875482574
41898	360	531	4	880355678
25623	466	546	4	890285159
61540	727	1229	2	883713473
14074	345	676	4	884991384
86404	16	127	5	877719206
19017	18	527	4	880130109
89885	622	198	4	882669612
94150	907	393	5	880160009
68807	181	333	3	878961227
42432	541	50	5	884046910
81336	721	58	2	877140781
3825	181	823	2	878963343
88143	160	302	5	878078074
28634	530	535	4	886198575
8803	276	276	4	874786605
93304	833	761	2	879818719
64149	524	228	3	884636152
87876	916	150	4	880843318
54267	524	402	2	884636617
27793	123	657	4	879872066
61774	618	609	4	891309440
87421	576	1	4	886985079
55478	197	177	5	891409935
71242	592	431	2	882956510
60525	653	163	4	880151629
42664	682	352	1	888518424
84530	804	307	4	879440600
31812	472	177	4	875981358
22443	456	710	3	881374649
71876	472	140	3	875980823
26353	378	248	3	883835834
96323	910	684	4	880821696
35256	362	350	5	885019537
51967	25	183	4	885852008
36519	610	483	5	888702859
68970	722	508	4	891281020
35515	393	722	2	889728736
21684	147	313	4	885593965
51925	279	728	4	875314287
40234	339	174	4	891032320
33152	567	483	5	882425843
95504	823	26	5	878438930
32991	555	87	4	879975505
6335	7	269	3	891349991
33236	543	591	4	876896210
91619	894	30	4	882404250
2628	293	665	2	888908117
84779	727	226	3	883711966
79375	804	988	4	879440663
1790	277	279	4	879543592
14670	13	173	2	882139863
9138	184	124	5	889907652
38974	642	133	5	886206274
84896	743	259	3	881277656
73001	894	45	4	882404250
98649	551	583	3	892778369
51755	773	639	4	888538931
34720	416	1226	3	893013826
21252	425	53	4	878738596
45894	552	240	2	879222133
84548	660	118	2	891198479
10336	331	64	4	877196504
69394	561	96	1	885809336
18220	354	197	4	891217512
56837	730	15	4	880310264
37866	644	100	4	889076775
47572	659	636	3	891387400
47597	523	634	5	883700743
13190	221	265	3	875246247
6223	280	404	3	891701114
50392	638	121	4	876694995
25530	500	469	4	883874813
46862	230	451	4	880485402
79833	648	47	2	884881807
81191	813	9	3	883752051
4763	313	136	5	891014474
50619	642	624	3	885606608
48281	256	387	4	882165328
33071	460	591	2	882911603
55562	275	624	3	880313679
50763	521	763	4	884476152
85577	270	563	3	876956442
3599	319	879	5	876280338
46226	670	650	2	877975200
38498	251	45	5	886271855
47139	489	358	5	891445439
90766	536	95	5	882360361
33107	178	87	4	885784558
24783	110	56	1	886988449
21250	457	285	5	882393648
26148	470	93	4	879178518
18728	104	713	3	888465491
11343	327	196	4	887745871
45953	712	366	5	874956713
64821	174	280	5	886433862
60049	792	1015	5	877910822
49585	592	752	4	888553156
79894	749	531	5	878847171
38046	425	358	4	890346630
55590	709	56	5	879848053
42038	557	150	3	881179621
2042	201	403	3	884112427
56994	95	495	4	888954760
97504	881	1217	5	876538506
77378	759	405	4	881476969
88996	939	283	5	880261291
94571	463	1199	1	889937778
9013	38	404	5	892431586
24008	15	13	1	879455940
87653	714	748	5	892777877
14221	174	1312	4	886434484
73487	870	28	4	875680258
20173	339	56	5	891032221
29166	416	87	5	893212484
12610	200	768	4	884130592
11710	92	96	4	875656025
39187	622	367	4	882670712
96090	434	424	1	886724913
31551	173	302	5	877556626
5875	65	121	4	879217458
80198	660	259	4	891197778
21496	455	20	3	879109594
74446	565	190	5	891037563
86978	262	219	3	879794206
5543	145	1102	1	888398162
75776	514	710	5	875318331
22147	234	182	3	892078567
31238	30	172	4	875060742
39372	60	799	4	883326995
77830	634	281	4	877017829
39675	405	1053	5	885545456
99594	269	515	4	891446132
62827	843	542	2	879448392
51971	774	527	1	888556698
48235	456	474	5	881373353
96014	332	302	5	893027264
80183	815	602	3	878694269
21429	115	7	5	881171982
14300	314	24	1	877886221
57040	495	449	5	888637768
48502	541	732	3	883865173
79820	426	404	3	879444321
23883	416	554	3	886318394
69040	653	1016	3	890181186
72628	622	1407	1	882672922
87079	151	922	4	879542847
35672	586	28	3	884066087
26209	514	746	5	875309276
781	58	1099	2	892243079
55047	660	191	4	891406212
16495	378	321	3	880317293
5648	118	176	5	875384793
4284	94	185	5	885873684
15574	308	197	3	887736743
15115	314	819	4	877886971
35527	484	227	5	891195506
12096	308	309	1	887736408
94476	923	9	4	880387306
17618	320	405	4	884748774
44019	492	285	4	879969345
71483	901	566	5	877131118
21358	216	221	4	881432501
90648	886	180	5	876031392
21830	270	26	5	876954995
56524	198	50	5	884204919
89682	805	679	4	881694854
29549	487	586	2	884051840
59814	234	116	2	892079434
67844	663	1017	2	889492679
39363	108	255	2	879880094
47582	380	443	4	885480283
18528	301	199	4	882076239
91562	537	518	4	886031105
4771	268	946	3	875310442
54754	158	10	4	880132513
97454	13	400	4	885744650
96439	815	144	4	878693989
90009	734	164	3	891025524
